aleph system no.,dom id,author (o),author (n),other author (o),other author (n),title,title (n),metadata,edition,imprint (o),p name,p location,p year,type
014810595,lsidyv3492d8ab,"field, michael.","field, michael",,,"the father's tragedy. william rufus. loyalty or love. [dramas, in prose and verse.] [electronic resource]",the father's tragedy. william rufus. loyalty or love,"[dramas, in prose and verse.]",,"london; j. baker & son clifton : g. bell & sons, [1885.].",g. bell & sons,london,1885,tragedy
014810836,lsidyv39b5862b,"fitzgerald, shafto justin adair.","fitzgerald, shafto justin adair",,,"a tragedy of grub street, and other stories. [electronic resource]","a tragedy of grub street, and other stories",,,"london : g. redway, 1897.",g. redway,london,1897,tragedy
014810871,lsidyv345c8554,"fletcher, john, dramatist.","fletcher, john","beaumont, francis, 1584-1616.","beaumont, francis","cupid's revenge ... [a tragedy, in five acts, and in prose and verse.] by j. f. [and f. beaumont.] [electronic resource]",cupid's revenge,"[a tragedy, in five acts, and in prose and verse.] by j. f. [and f. beaumont.]..",,"london : t. creede for j. harison, 1615.",t. creede for j. harison,london,1615,tragedy
014810988,lsidyv3423fde1,"ford, john, dramatist.","ford, john",,,the chronicle historie of perkin warbeck. a strange truth. [a tragedy in five acts and chiefly in verse.] [electronic resource],the chronicle historie of perkin warbeck. a strange truth,[a tragedy in five acts and chiefly in verse.],,"london, 1634.",,london,1634,tragedy
014810990,lsidyv345b3eb9,"ford, john, dramatist.","ford, john","ford, john, dramatist.","ford, john",'t is pitty shees a whore. [a tragedy in five acts and chiefly in verse.] [electronic resource],'t is pitty shees a whore,[a tragedy in five acts and chiefly in verse.],,"london, 1633.",,london,1633,tragedy
014811397,lsidyv3498ca02,,,"tomlins, frederick guest.","tomlins, frederick guest",begin. garcia: a tragedy [in five acts and in verse. by f. g. tomlins]. [electronic resource],begin. garcia: a tragedy,[in five acts and in verse. by f. g. tomlins],,"[london, 1835?]",[ ?],london,1835,tragedy
014811520,lsidyv346f90b4,"gent, thomas, of york.","gent, thomas",,,"the contingencies, vicissitudes or changes of this transitory life. set forth in a ... prologue, spoken for the most part on the 18th and 20th of february 1761 at the tragedy of jane shore. with a benedictive epilogue, etc. [electronic resource]","the contingencies, vicissitudes or changes of this transitory life. set forth in a","prologue, spoken for the most part on the 18th and 20th of february 1761 at the tragedy of jane shore. with a benedictive epilogue, etc...",,"york, [1761.]",,york,1761,tragedy
014811548,lsidyv3a0c71ce,"gerard, emily, afterwards laszowska (emily de)","gerard, emily, afterwards laszowska emily de",,,the tragedy of a nose. (a brief delirium.). [electronic resource],the tragedy of a nose. (a brief delirium.),,,"london : digby, long & co., 1898.",digby long & co.,london,1898,tragedy
014811554,lsidyv34ed1c40,"gerard, william.","gerard, william",,,dolcino. a tragedy. [electronic resource],dolcino. a tragedy,,,"london : kegan paul & co., 1899.",kegan paul & co.,london,1899,tragedy
014811742,lsidyv345cc65b,"glapthorne, henry.","glapthorne, henry",,,"the tragedy of albertus wallenstein ... duke of friedland, etc. [in five acts and in verse.] [electronic resource]","the tragedy of albertus wallenstein ... duke of friedland, etc.",[in five acts and in verse.],,"london, 1639.",,london,1639,tragedy
014811803,lsidyv3499bbe9,"goldsmith, john borough.","goldsmith, john borough",,,"king henry the first; or, the conquest of normandy. an historical tragedy in five acts [and in verse]. [electronic resource]","king henry the first; or, the conquest of normandy. an historical tragedy in five acts",[and in verse],,"london, 1834.",,london,1834,tragedy
014811965,lsidyv349c9d73,"graham, david, dramatic author.","graham, david",,,rizzio: an historical tragedy. [electronic resource],rizzio: an historical tragedy,,,"london : a. constable & co., 1898.",a. constable & co.,london,1898,tragedy
014812114,lsidyv338ef640,,,"murphy, arthur, 1727-1805.","murphy, arthur",the grecian daughter: a tragedy [in five acts and in verse. by a. murphy]. a new edition. [electronic resource],the grecian daughter: a tragedy,[in five acts and in verse. by a. murphy]. a new edition,,"london, 1772.",,london,1772,tragedy
014812282,lsidyv34997507,"griffith, george, of kidderminster.","griffith, george",,,"the two houses: a staffordshire tragedy. (founded on facts.) [in three acts and in verse, etc.] [electronic resource]",the two houses: a staffordshire tragedy,"(founded on facts.) [in three acts and in verse, etc.]",,"london, stourbridge [printed], 1866.",[printed],london,1866,tragedy
014812400,lsidyv349b47ce,"gurney, archer thompson.","gurney, archer thompson",,,iphigenia at delphi: a tragedy [in five acts and in verse]. [electronic resource],iphigenia at delphi: a tragedy,[in five acts and in verse],,"london, 1855.",,london,1855,tragedy
014812642,lsidyv34996092,,,,,"[hanno, a tragedy in five acts [and in verse].] [electronic resource]","hanno, a tragedy in five acts",[and in verse],[another edition.],"london, 1854.",,london,1854,tragedy
014812855,lsidyv338ef24a,"hartson, hall.","hartson, hall",,,the countess of salisbury. a tragedy [in five acts and in verse]. ... second edition. [electronic resource],the countess of salisbury. a tragedy,[in five acts and in verse].second edition...,,"london, 1767.",,london,1767,tragedy
014812986,lsidyv338ee590,"haywood, eliza fowler, 1693?-1756.","haywood, eliza fowler",,,"frederick, duke of brunswick-lunenburgh. a tragedy [in five acts and in verse], etc. [electronic resource]","frederick, duke of brunswick-lunenburgh. a tragedy, etc.",[in five acts and in verse],,"london, 1729.",,london,1729,tragedy
014813025,lsidyv34ec06b0,"heath, samuel, dramatist.","heath, samuel","scott, walter, sir, 1771-1832","scott, walter",the earl of leicester: a tragedy [in five acts and in verse. founded on sir w. scott's novel of kenilworth]. [electronic resource],the earl of leicester: a tragedy,[in five acts and in verse. founded on sir w. scott's novel of kenilworth],,"london, 1843.",,london,1843,tragedy
014813078,lsidyv345b5f58,"hemings, william, m.a., of christ church, oxford.","hemings, william",,,"the jewes tragedy, or, their fatal and final overthrow by vespatian and titus his son. agreeable to the authentick and famous history of josephus. [in five acts and in verse.] [electronic resource]","the jewes tragedy, or, their fatal and final overthrow by vespatian and titus his son. agreeable to the authentick and famous history of josephus",[in five acts and in verse.],,"london, 1662.",,london,1662,tragedy
014813129,lsidyv34ec4c7d,,,"reinhart, charles s.","reinhart, charles s.","henry, lord darnly, king of scots. a tragedy [in five acts and in verse]. [electronic resource]","henry, lord darnly, king of scots. a tragedy",[in five acts and in verse],,"edinburgh, 1823.",,edinburgh,1823,tragedy
014813180,lsidyv349d0176,"herbert, henry john george, earl of carnarvon.","herbert, henry john george",,,"don pedro, king of castile; a tragedy [in five acts and in verse]. [electronic resource]","don pedro, king of castile; a tragedy",[in five acts and in verse],,"london, 1828.",,london,1828,tragedy
014813215,lsidyv345d063f,,,"pordage, samuel. -- settle, elkanah.","pordage, samuel.  settle, elkanah",herod and mariamna: a tragedy [in five acts and in verse by s. pordage; edited by elkanah settle]. [electronic resource],herod and mariamna: a tragedy,[in five acts and in verse by s. pordage; edited by elkanah settle],,"london, 1673.",,london,1673,tragedy
014813259,lsidyv314dd2b9,"hewitt, john, dramatist.","hewitt, john",,,"fatal falshood: or, distress'd innocence. a tragedy, in three acts [in verse], etc. [electronic resource]","fatal falshood: or, distress'd innocence. a tragedy, in three acts, etc.",[in verse],,"[london, 1734.]",[ .],london,1734,tragedy
014813396,lsidyv30712234,"hitchener, william henry.","hitchener, william henry",,,"ivor: or, the sighs of ulla. a tragedy [in five acts and in verse]. [electronic resource]","ivor: or, the sighs of ulla. a tragedy",[in five acts and in verse],,"london, 1808.",,london,1808,tragedy
014813486,lsidyv345b2bb8,"chettle, henry, d. 1607?","chettle, henry","lennard, henry barrett.","lennard, henry barrett","the tragedy of hoffman; or, a revenge for a father [in five acts and in verse. by h. chettle]. [electronic resource]","the tragedy of hoffman; or, a revenge for a father",[in five acts and in verse. by h. chettle],,"london, 1631.",,london,1631,tragedy
014813649,lsidyv338ef049,"hoole, john.","hoole, john",,,timanthes: a tragedy. [electronic resource],timanthes: a tragedy,,,"london : j. becket & co, 1770.",j. becket & co,london,1770,tragedy
014813694,lsidyv345ce1a2,"hopkins, charles, dramatist.","hopkins, charles",,,"friendship improv'd, or the female warriour; a tragedy [in five acts and in verse]. [electronic resource]","friendship improv'd, or the female warriour; a tragedy",[in five acts and in verse],,"london, 1700.",,london,1700,tragedy
014813695,lsidyv345ce555,"hopkins, charles, dramatist.","hopkins, charles",,,"pyrrhus, king of epirus, a tragedy; [in five acts and in verse]. [electronic resource]","pyrrhus, king of epirus, a tragedy",[in five acts and in verse],,"london, 1695.",,london,1695,tragedy
014813704,lsidyv3498d07d,"hopkins, john baker.","hopkins, john baker",,,"the yogi's daughter: a tragedy, in five acts [and in verse]. [electronic resource]","the yogi's daughter: a tragedy, in five acts",[and in verse],,"london, 1854.",,london,1854,tragedy
014813737,lsidyv349cfeb5,"hornby, mary, of stratford-upon-avon.","hornby, mary",,,the battle of waterloo: a tragedy [in five acts and in prose]. [electronic resource],the battle of waterloo: a tragedy,[in five acts and in prose],,"stratford-upon-avon, 1819.",,stratford-upon-avon,1819,tragedy
014813774,lsidyv34fc77cc,"hoskins, william henry, and (horatio huntley)","hoskins, william henry, and horatio huntley","hoskins, horatio huntley.","hoskins, horatio huntley","extremes; or de valencourt. a tragedy, in five acts. [in prose and verse.] [electronic resource]","extremes; or de valencourt. a tragedy, in five acts",[in prose and verse.],,"norwich, 1842.",,norwich,1842,tragedy
014813822,lsidyv345cf461,"howard, edward, fl. 1669.","howard, edward",,,"the usurper, a tragedy [in five acts, and in verse]. [electronic resource]","the usurper, a tragedy","[in five acts, and in verse]",,"london, 1668.",,london,1668,tragedy
014813831,lsidyv315eb245,"howard, robert, hon. sir.","howard, robert",,,"the great favourite, or, the duke of lerma. [a tragedy in five acts, and in verse.] [electronic resource]","the great favourite, or, the duke of lerma","[a tragedy in five acts, and in verse.]",,"in the savoy, 1668.",,london,1668,tragedy
014813910,lsidyv307c2309,"hughes, john, poet.","hughes, john",,,"the siege of damascus. a tragedy [in five acts, in verse], etc. [electronic resource]","the siege of damascus. a tragedy, etc.","[in five acts, in verse]",,"john watts. london, 1720.",john watts.,london,1720,tragedy
014813935,lsidyv34990f1d,"hugo, thomas, dramatic writer.","hugo, thomas",,,edwy. a tragedy. [in verse.] [electronic resource],edwy. a tragedy,[in verse.],,"london; edward howell liverpool : simpkin, marshall & co., 1864.",simpkin marshall & co.,london,1864,tragedy
014813936,lsidyv39f3c871,"hugo, thomas, dramatic writer.","hugo, thomas",,,napoleon i. a tragedy. [in verse.] [electronic resource],napoleon i. a tragedy,[in verse.],,"london; edward howell liverpool : simpkin, marshall & co., 1866.",simpkin marshall & co.,london,1866,tragedy
014813956,lsidyv314efdf1,"hull, thomas, actor.","hull, thomas",,,"henry the second; or, the fall of rosamond: a tragedy [in five acts and in verse], etc. [electronic resource]","henry the second; or, the fall of rosamond: a tragedy , etc.",[in five acts and in verse],,"london, 1774.",,london,1774,tragedy
014814305,lsidyv345c35ef,"j., b.","j., b.",,,"the tragical history, admirable atchievements, and various events of guy, earl of warwick, a tragedy [in five acts and in prose and verse], written by b. j. [electronic resource]","the tragical history, admirable atchievements, and various events of guy, earl of warwick, a tragedy","[in five acts and in prose and verse], written by b. j",,"london, 1661.",,london,1661,tragedy
014814309,lsidyv3b2e59f8,"j., r. c.","j., r. c.","harrison, henry, gent.","harrison, henry, gent","the tragedy of captain harrison; or, the brownlow street mystery. put together ... from the conflicting reports of the “tryal of hen. harrison, gent.,” and the “last words” of the convict, lond. 1692. by r. c. j. [electronic resource]","the tragedy of captain harrison; or, the brownlow street mystery. put together","from the conflicting reports of the “tryal of hen. harrison, gent.,” and the “last words” of the convict, lond. 1692. by r. c. j...",,"london : d. nutt, 1890.",d. nutt,london,1890,tragedy
014814341,lsidyv350ceae1,"jacob, hildebrand.","jacob, hildebrand",,,"the works of h. jacob, esqr. containing poems on various subjects, ... with the fatal constancy, a tragedy [in five acts and in verse]; and several pieces in prose. [electronic resource]","the works of h. jacob, esqr. containing poems on various subjects","with the fatal constancy, a tragedy [in five acts and in verse]; and several pieces in prose...",,"london, 1735.",,london,1735,tragedy
014814541,lsidyv34ec5253,"jerningham, edward.","jerningham, edward","jerningham, hubert edward henry, sir, k.c.m.g.","jerningham, hubert edward henry","the siege of berwick, a tragedy [in four acts and in verse] ... edited by h. e. h. jerningham. [electronic resource]","the siege of berwick, a tragedy",[in four acts and in verse]...edited by h. e. h. jerningham,,"london : w. ridgway, 1882.",w. ridgway,london,1882,tragedy
014814599,lsidyv345d1991,,,"settle, elkanah.","settle, elkanah",the female prelate: being the history and the life and death of pope joan. a tragedy [in five acts and in verse]. written by a person of quality [i.e. elkanah settle]. [electronic resource],the female prelate: being the history and the life and death of pope joan. a tragedy,[in five acts and in verse]. written by a person of quality [i.e. elkanah settle],,"london, 1689.",,london,1689,tragedy
014814616,lsidyv34593185,"jodrell, richard paul.","jodrell, richard paul",,,"illustrations of the persian heroine, a tragedy ... adapted to the third edition. [electronic resource]","illustrations of the persian heroine, a tragedy",adapted to the third edition...,,"london, 1822.",,london,1822,tragedy
014814621,lsidyv3458e6a1,,,"buchanan, george, the humanist.","buchanan, george","tyrannicall government anatomized; or, a discourse concerning evil councellors. being the life and death of john the baptist. [a tragedy, translated from the latin of g. buchanan. in five parts and in verse.] [electronic resource]","tyrannicall government anatomized; or, a discourse concerning evil councellors. being the life and death of john the baptist","[a tragedy, translated from the latin of g. buchanan. in five parts and in verse.]",,"london, 1642.",,london,1642,tragedy
014814631,lsidyv3ab8dd84,"johnson, charles, dramatic writer.","johnson, charles",,,the tragedy of medæa [in five acts and in verse]. ... with a preface containing some reflections on the new way of criticism. [electronic resource],the tragedy of medæa,with a preface containing some reflections on the new way of criticism...,,"london, 1731.",,london,1731,tragedy
014814663,lsidyv303020a0,"johnson, samuel, ll.d.","johnson, samuel",,,"the patriot; a tragedy, from a manuscript of the late dr samuel johnson, corrected by himself. [by joseph simpson.] [electronic resource]",the patriot; a tragedy,", from a manuscript of the late dr samuel johnson, corrected by himself. [by joseph simpson.]",,"london, 1785.",,london,1785,tragedy
014814733,lsidyv3aba670a,"jones, henry, of drogheda.","jones, henry",,,"the earl of essex, a tragedy [in five acts and in verse]. [electronic resource]","the earl of essex, a tragedy",[in five acts and in verse],,"london, 1753.",,london,1753,tragedy
014814759,lsidyv345b3bbc,"jonson, ben, 1573?-1637.","jonson, ben",,,"catiline his conspiracy. [a tragedy, in five acts and in verse.] [electronic resource]",catiline his conspiracy,"[a tragedy, in five acts and in verse.]",,"london : printed for w. burre, 1611.",printed for w. burre,london,1611,tragedy
014814776,lsidyv3426ed61,"joyner, otherwise lyde, william.","joyner, william",,,the roman empress. a tragedy [in five acts and in verse]. [electronic resource],the roman empress. a tragedy,[in five acts and in verse],,"[london,] : in the savoy, 1671.",,london,1671,tragedy
014814800,lsidyv349d0614,,,,,"retributive justice: a tragedy in five acts [and in prose], etc. [founded on the story of kruitzner in the canterbury tales.] [electronic resource]",retributive justice: a tragedy in five acts,"[and in prose], etc. [founded on the story of kruitzner in the canterbury tales.]",,"manchester : for private communication, 1813.",for private communication,manchester,1813,tragedy
014814849,lsidyv34990a20,"keane, john henry.","keane, john henry",,,the old jewry. a tragedy in five acts [and in verse]. [electronic resource],the old jewry. a tragedy in five acts,[and in verse],,"westminster, 1860.",,westminster,1860,tragedy
014814977,lsidyv3499c5e8,"kenney, james.","kenney, james",,,the sicilian vespers: an historical tragedy [in five acts and in verse]. [electronic resource],the sicilian vespers: an historical tragedy,[in five acts and in verse],,"london, 1840.",,london,1840,tragedy
014815061,lsidyv345cc3a6,"killigrew, henry, d.d.","killigrew, henryd",,,"the conspiracy, a tragedy. [in five acts, in prose and verse.] [electronic resource]","the conspiracy, a tragedy","[in five acts, in prose and verse.]",,"london, 1638.",,london,1638,tragedy
014815706,lsidyv345d8b56,"lee, nathaniel.","lee, nathaniel","dryden, john, 1631-1700.","dryden, john","cæsar borgia, son of pope alexander the sixth: a tragedy [in five acts and in verse]. [electronic resource]","cæsar borgia, son of pope alexander the sixth: a tragedy",[in five acts and in verse],,"london : r. bentley and m. magnes, 1680.",r. bentley and m. magnes,london,1680,tragedy
014815708,lsidyv345cb288,"lee, nathaniel.","lee, nathaniel","dryden, john, 1631-1700.","dryden, john","constantine the great; a tragedy, etc. [in five acts and in verse.] [electronic resource]","constantine the great; a tragedy, etc.",[in five acts and in verse.],,"london : j. bently and j. tonson, 1684.",j. bently and j. tonson,london,1684,tragedy
014815709,lsidyv345d8949,"lee, nathaniel.","lee, nathaniel",,,"gloriana, or the court of augustus cæsar, etc. [a tragedy, in five acts and in verse.] [electronic resource]","gloriana, or the court of augustus cæsar, etc.","[a tragedy, in five acts and in verse.]",,"london : j. magnes and r. bentley, 1676.",j. magnes and r. bentley,london,1676,tragedy
014815710,lsidyv345d938f,"lee, nathaniel.","lee, nathaniel",,,"lucius junius brutus, father of his country. a tragedy [in five acts and in verse]. [electronic resource]","lucius junius brutus, father of his country. a tragedy",[in five acts and in verse],,"london : r. tonson and j. tonson, 1681.",r. tonson and j. tonson,london,1681,tragedy
014815711,lsidyv345d99fe,"lee, nathaniel.","lee, nathaniel",,,the massacre of paris: a tragedy [in five acts and in verse]. [electronic resource],the massacre of paris: a tragedy,[in five acts and in verse],,"london : r. bentley and m. magnes, 1690.",r. bentley and m. magnes,london,1690,tragedy
014815712,lsidyv345d95c0,"lee, nathaniel.","lee, nathaniel",,,"[mithridates, king of pontus: a tragedy [in five acts, and in verse].] [electronic resource]","mithridates, king of pontus: a tragedy","[in five acts, and in verse]",[another edition.],"london : r. bentley and s. magnes, 1685.",r. bentley and s. magnes,london,1685,tragedy
014815715,lsidyv3429cc7d,"lee, nathaniel.","lee, nathaniel","dryden, john, 1631-1700.","dryden, john","sophonisba, or hannibal's overthrow. a tragedy [in five acts and in verse]. [electronic resource]","sophonisba, or hannibal's overthrow. a tragedy",[in five acts and in verse],,"london : j. magnes and r. bentley, 1676.",j. magnes and r. bentley,london,1676,tragedy
014815718,lsidyv345d8fb1,"lee, nathaniel.","lee, nathaniel",,,"theodosius: or, the force of love, a tragedy [in five acts and in verse]... with the musick betwixt the acts [by h. purcell]. [electronic resource]","theodosius: or, the force of love, a tragedy",[in five acts and in verse] with the musick betwixt the acts [by h. purcell]...,,"london : r. bentley and m. magnes, 1680.",r. bentley and m. magnes,london,1680,tragedy
014815721,lsidyv338f6a07,"lee, nathaniel.","lee, nathaniel",,,"the tragedy of nero, emperour of rome, etc. [in five acts, in verse and in prose.] [electronic resource]","the tragedy of nero, emperour of rome, etc.","[in five acts, in verse and in prose.]",,"london : j. magnus and r. bentley, 1675.",j. magnus and r. bentley,london,1675,tragedy
014815741,lsidyv34ed27fb,"lee-hamilton, eugene.","leehamilton, eugene",,,"the fountain of youth. a fantastic tragedy, in five acts. [in verse.] [electronic resource]","the fountain of youth. a fantastic tragedy, in five acts",[in verse.],,"london : elliot stock, 1891.",elliot stock,london,1891,tragedy
014816174,lsidyv32d129b5,"dryden, john, 1631-1700.","dryden, john",,,"the duke of guise [electronic resource]. a tragedy. acted by their majesties servants. written by mr. dryden, and mr. lee.",the duke of guise . a tragedy,"acted by their majesties servants. written by mr. dryden, and mr. lee",,"london, r. bentley; j. tonson; printed by t. h. : 1683.",r. bentley; j. tonson; printed by t. h. :,london,1683,tragedy
014816185,lsidyv34ed4448,"martin, theodore, sir, 1816-1909.","martin, theodore","hertz, henrik, 1798-1870. english. -- schiller, friedrich, 1759-1805. english. -- halm, friedrich, 1806-1871. english.","hertz, henrik, . .  schiller, friedrich, . .  halm, friedrich, .",madonna pia [electronic resource] : a tragedy : and three other dramas / written and translated by sir theodore martin.,madonna pia  : a tragedy : and three other dramas,/ written and translated by sir theodore martin,,"edinburgh ; london : w. blackwood and sons, 1894. -- edinburgh : w. blackwood & sons, 1894.",w. blackwood & sons,edinburgh & london,1894,tragedy
014816193,lsidyv33510698,,,"home, john, author of “douglas.”.","home, john, ”","agis: a tragedy, etc. [in verse. by john home.] [electronic resource]","agis: a tragedy, etc.",[in verse. by john home.],,"a. millar : london, 1758.",a. millar,london,1758,tragedy
014816220,lsidyv3350ef20,,,,,"the lamentable and true tragedy of master arden of feversham in kent; who was most wickedly murdered by the meanes of his disloyall and wanton wife; who, for the love she bare to one mosby, hired two desperate ruffins, blacke-will, and shakebag, to kill him. [in verse.] [electronic resource]",the lamentable and true tragedy of master arden of feversham in kent,"who was most wickedly murdered by the meanes of his disloyall and wanton wife; who, for the love she bare to one mosby, hired two desperate ruffins, blacke-will, and shakebag, to kill him. [in verse.]",,"london : eliz. allde, 1633.",eliz. allde,london,1633,tragedy
014816222,lsidyv32bea20f,,,"bell, william boscawen.","bell, william boscawen",the queen of argos; a tragedy: in five acts. [in verse. by william b. bell.] [electronic resource],the queen of argos; a tragedy: in five acts,[in verse. by william b. bell.],,"london : the author, 1823.",the author,london,1823,tragedy
014816267,lsidyv33505d23,"bedloe, william.","bedloe, william",,,"the excommunicated prince: or, the false relique. a tragedy. as it was acted by his holiness's servants. being the popish plot in a play. [in verse.] [electronic resource]","the excommunicated prince: or, the false relique. a tragedy",as it was acted by his holiness's servants. being the popish plot in a play. [in verse.],,"london : for tho. parkhurst, etc., 1679.",for tho. parkhurst etc.,london,1679,tragedy
014816294,lsidyv30984596,"bicknell, alexander.","bicknell, alexander",,,the patriot king; or alfred and elvida. an historical tragedy. [in verse.] [electronic resource],the patriot king; or alfred and elvida. an historical tragedy,[in verse.],,"london : the author, 1788.",the author,london,1788,tragedy
014816432,c.188.a.197 -- lsidyv2ebc2b27,"byron, george gordon byron, baron, 1788-1824","byron, george gordon byron",,,"marino faliero, doge of venice. an historical tragedy, in five acts. with notes. the prophecy of dante, a poem. [electronic resource]","marino faliero, doge of venice. an historical tragedy, in five acts. with notes. the prophecy of dante, a poem",,,"london : john murray, 1821.",john murray,london,1821,tragedy
014816459,lsidyv33520ff4,"centlivre, susanna, 1667?-1723.","centlivre, susanna",,,"the perjur'd husband: or, the adventures of venice. a tragedy. [electronic resource]","the perjur'd husband: or, the adventures of venice. a tragedy",,,"london : bennet banbury, 1700.",bennet banbury,london,1700,tragedy
014816465,lsidyv3350bde6,"castro, inês de, d. 1355.","castro, inês de","trotter, catharine, 1679-1749","trotter, catharine","agnes de castro, a tragedy ... written by a young lady [i.e. catherine trotter, afterwards cockburn]. [electronic resource]","agnes de castro, a tragedy","written by a young lady [i.e. catherine trotter, afterwards cockburn]...",,"london : h. rhodes, 1696.",h. rhodes,london,1696,tragedy
014816486,lsidyv31911dfd,"cicero, marcus tullius.","cicero, marcus tullius",,,the tragedy of that famous roman oratour marcus tullius cicero. [in verse.] [electronic resource],the tragedy of that famous roman oratour marcus tullius cicero,[in verse.],,"london : richard cotes, for john sweeting, 1651.",richard cotes for john sweeting,london,1651,tragedy
014816533,lsidyv3352ebe5,"corneille, pierre, 1606-1684.","corneille, pierre",,,"the cid, a tragedy ... from the french of corneille. by a gentleman, formerly a captain in the army. [electronic resource]","the cid, a tragedy","from the french of corneille. by a gentleman, formerly a captain in the army...",,"london : printed by a. young; sold by mr. faulder, 1802.",printed by a. young sold by mr. faulder,london,1802,tragedy
014816536,lsidyv315ecb4e,"cornwall, barry, pseud. [i.e. bryan waller procter.]",,,,"[mirandola, a tragedy.] [electronic resource]","mirandola, a tragedy",,second edition.,"london : john warren, 1821.",john warren,london,1821,tragedy
014816549,lsidyv2eb72d97,"cowley, hannah.","cowley, hannah",,,"the fate of sparta; or, the rival kings. a tragedy. as it is acted at the theatre-royal, in drury lane. [electronic resource]","the fate of sparta; or, the rival kings. a tragedy","as it is acted at the theatre-royal, in drury lane",,"london : g. g. j. & j. robinson, 1788.",g. g. j. & j. robinson,london,1788,tragedy
014816574,lsidyv32bcb6de,"crown, mr. (john), 1640?-1712.","crown,  john",,,"darius king of persia. a tragedy, etc. [electronic resource]","darius king of persia. a tragedy, etc.",,,"london : r. bentley, 1688.",r. bentley,london,1688,tragedy
014816580,lsidyv335087a3,"cumberland, richard, 1732-1811","cumberland, richard",,,the banishment of cicero. a tragedy. [electronic resource],the banishment of cicero. a tragedy,,,"london : j. walter, 1761.",j. walter,london,1761,tragedy
014816584,lsidyv3191b994,"cumberland, richard, 1732-1811","cumberland, richard",,,"the carmelite: a tragedy, etc. [electronic resource]","the carmelite: a tragedy, etc.",,,"london : c. dilly; g. nicol, 1784.",c. dilly; g. nicol,london,1784,tragedy
014816593,lsidyv30966ef9,"cumberland, richard, 1732-1811","cumberland, richard",,,"the mysterious husband. a tragedy, etc. [electronic resource]","the mysterious husband. a tragedy, etc.",,,"london : c. dilly; j. walter, 1783.",c. dilly; j. walter,london,1783,tragedy
014816632,lsidyv2eb1f69b,"dew, dyer.","dew, dyer",,,"harold; or, the english king, a tragedy, in five acts. [electronic resource]","harold; or, the english king, a tragedy, in five acts",,,"london : printed by the author, at his private press; sold by longman, hurst, rees, orme, & brown, 1820.",printed by the author at his private press; sold by longman hurst rees orme & brown,london,1820,tragedy
014816641,lsidyv2eb1ea26,"dillon, john, playwright.","dillon, john",,,"retribution; or, the chieftain's daughter. a tragedy, in five acts ... second edition. [electronic resource]","retribution; or, the chieftain's daughter. a tragedy, in five acts",second edition...,,"london : longman, hurst, rees, orme, & brown, 1818.",longman hurst rees orme & brown,london,1818,tragedy
014816643,lsidyv3351c5f4,,,,,"the fatal discovery: or, love in ruines; a tragedy [in five acts and in verse]. with a preface [signed by g. powell,] in answer to a copy of verses written by mr. dryden and prefixt to a play call'd heroick love. [electronic resource]","the fatal discovery: or, love in ruines; a tragedy","[in five acts and in verse]. with a preface [signed by g. powell,] in answer to a copy of verses written by mr. dryden and prefixt to a play call'd heroick love",,"london, 1698.",,london,1698,tragedy
014816644,lsidyv33510881,,,"home, john, author of “douglas.”.","home, john, ”","the fatal discovery, a tragedy. [in five acts and in verse. by j. home.] [electronic resource]","the fatal discovery, a tragedy",[in five acts and in verse. by j. home.],,"london, 1769.",,london,1769,tragedy
014816652,lsidyv32d71878,,,"home, john, author of “douglas.”.","home, john, ”","douglas: a tragedy, etc., [by john home]. [electronic resource]",douglas: a tragedy,"etc., [by john home]",,"london : a. millar, 1757.",a. millar,london,1757,tragedy
014816667,lsidyv32b6c908,,,,,"d.; or, jacobinism displayed; a tragedy, in five acts [and in verse]. [electronic resource]","d.; or, jacobinism displayed; a tragedy, in five acts",[and in verse],,"cheltenham, [1816?]",,cheltenham,1816,tragedy
014816696,lsidyv335307d4,"f., b. j.","f., b. j.","fletcher, john, dramatist.","fletcher, john",the bloody brother. a tragedy. by b. j. f. [by john fletcher and others.] [electronic resource],the bloody brother. a tragedy,by b. j. f. [by john fletcher and others.],,"london : r. bishop, for thomas allott and iohn crook, 1639.",r. bishop for thomas allott and iohn crook,london,1639,tragedy
014816698,lsidyv32ba6ce4,"f., r.","f., r.",,,"imperial, a tragedy [in five acts and in verse. by r. f., i.e. sir ralph freeman]. [electronic resource]","imperial, a tragedy","[in five acts and in verse. by r. f., i.e. sir ralph freeman]",,"london, 1655.",,london,1655,tragedy
014816710,lsidyv3351f0fc,"filmer, edward.","filmer, edward",,,the unnatural brother; a tragedy [in five acts and in verse]. [electronic resource],the unnatural brother; a tragedy,[in five acts and in verse],,"london, 1697.",,london,1697,tragedy
014816717,lsidyv3385bf32,"fletcher, john, dramatist.","fletcher, john","wilmot, john, earl of rochester . -- wolseley, robert, poetical writer.","wilmot, john .  wolseley, robert",valentinian: a tragedy. as 'tis alter'd by the late earl of rochester. ... together with a preface concerning the author [i.e. lord rochester] and his writings. by one of his friends [robert wolseley]. [electronic resource],valentinian: a tragedy,as 'tis alter'd by the late earl of rochester. together with a preface concerning the author [i.e. lord rochester] and his writings. by one of his friends [robert wolseley]...,,"london : printed for timothy goodwin, 1685.",printed for timothy goodwin,london,1685,tragedy
014816776,lsidyv2eb258bf,"glover, richard, 1712-1785.","glover, richard",,,"medea. a tragedy [in five acts, and in verse]. [electronic resource]",medea. a tragedy,"[in five acts, and in verse]",,"london, 1761.",,london,1761,tragedy
